,county_no_space,state,country,aggregate_level,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,county,Workplace,fips
0,,AL,USA,state,-0.41,-0.13,0.19,-0.3,-0.32,0.09,,,
1,AutaugaCounty,AL,USA,county,-0.42,-0.08,-0.14,0.0,,0.16,Autauga County,-0.35,01001
2,BaldwinCounty,AL,USA,county,-0.47,-0.19,-0.27,-0.24,,0.09,Baldwin County,-0.32,01003
3,BarbourCounty,AL,USA,county,-0.27,-0.2,0.0,0.0,,0.0,Barbour County,-0.23,01005
4,BibbCounty,AL,USA,county,-0.25,-0.1,0.0,0.0,,0.0,Bibb County,-0.32,01007
5,BlountCounty,AL,USA,county,-0.36,-0.02,0.0,0.0,,0.15,Blount County,-0.29,01009
6,BullockCounty,AL,USA,county,-0.37,-0.13,0.0,0.0,,0.0,Bullock County,-0.24,01011
7,ButlerCounty,AL,USA,county,-0.37,-0.05,0.0,-0.45,,0.0,Butler County,-0.3,01013
8,CalhounCounty,AL,USA,county,-0.4,-0.17,-0.22,0.0,,0.08,Calhoun County,-0.33,01015
9,ChambersCounty,AL,USA,county,-0.34,0.01,0.0,-0.12,,0.13,Chambers County,-0.28,01017
10,CherokeeCounty,AL,USA,county,-0.24,0.06,0.0,0.0,,0.0,Cherokee County,-0.29,01019
11,ChiltonCounty,AL,USA,county,-0.41,-0.11,0.0,-0.27,,0.14,Chilton County,-0.26,01021
12,ChoctawCounty,AL,USA,county,-0.13,-0.16,0.0,0.0,,0.0,Choctaw County,-0.28,01023
13,ClarkeCounty,AL,USA,county,-0.27,-0.24,0.0,0.0,,0.0,Clarke County,-0.27,01025
14,ClayCounty,AL,USA,county,-0.33,-0.14,0.0,0.0,,0.0,Clay County,-0.2,01027
15,CleburneCounty,AL,USA,county,-0.22,-0.03,0.0,-0.36,,0.0,Cleburne County,-0.09,01029
16,CoffeeCounty,AL,USA,county,-0.28,-0.15,0.0,0.0,,0.11,Coffee County,-0.26,01031
17,ColbertCounty,AL,USA,county,-0.3,-0.06,-0.14,-0.2,,0.12,Colbert County,-0.22,01033
18,ConecuhCounty,AL,USA,county,-0.49,-0.1,0.0,-0.33,,0.0,Conecuh County,-0.21,01035
19,CoosaCounty,AL,USA,county,,,,,,,Coosa County,0.0,01037
20,CovingtonCounty,AL,USA,county,0.0,0.0,,,,0.0,Covington County,0.0,01039
21,CrenshawCounty,AL,USA,county,-0.57,-0.17,0.0,0.0,,0.0,Crenshaw County,-0.35,01041
22,CullmanCounty,AL,USA,county,-0.33,-0.02,0.86,-0.33,,0.08,Cullman County,-0.29,01043
23,DaleCounty,AL,USA,county,-0.34,-0.09,0.0,-0.17,,0.11,Dale County,-0.25,01045
